OTAB_078wtp_T060_q	OTAB_078wtp_T060_i	OTAB_082wtp_T025_q	OTAB_082wtp_T025_i	OTAB_078wtp_T058_q	OTAB_078wtp_T058_i	OTAB_093wtp_T025_q	OTAB_093wtp_T025_i	OTAB_100wtp_T095_q	OTAB_100wtp_T095_i
1.40215	0.04218902	1.534769	0.01292123	1.395518	0.05700695	1.20316	0.01783029	1.20316	0.01898862
1.408782	0.09210806	1.541399	0.008652611	1.40215	0.03463914	1.209794	0.02579527	1.209794	0.05992513
1.415413	0.05582743	1.548028	0.0173274	1.408782	0.0274117	1.216428	0.02749977	1.216428	0.04810349
1.422045	0.1035164	1.554658	0.006655565	1.415413	0.048603	1.223062	0.0157318	1.223062	0.01031857
1.428676	0.06054367	1.561288	0.01088577	1.422045	0.01701657	1.229696	0.05424712	1.229696	0.02673931
1.435308	0.06785734	1.567918	0.0082245	1.428676	0.07729761	1.23633	0.01858782	1.23633	0.0297148
1.441939	0.03155545	1.574547	0.007141594	1.435308	0.07104079	1.242963	0.08688068	1.242963	0.009684261
1.44857	0.08413393	1.581177	0.006539971	1.441939	0.05961105	1.249597	0.03965907	1.249597	0.02287056
1.455201	0.06449405	1.587806	0.01060869	1.44857	0.03770429	1.256231	0.006264743	1.256231	0.02584949
1.461833	0.02558976	1.594435	0.01487058	1.455201	0.117197	1.262864	0.02109739	1.262864	0.02243045
1.468464	0.08137238	1.601064	0.009587468	1.461833	0.03173958	1.269498	0.06827556	1.269498	0.03020505
1.475094	0.03971998	1.607693	0.01560847	1.468464	0.07628946	1.276131	0.03272028	1.276131	0.01834828
1.481725	0.07261138	1.614322	0.01432256	1.475094	0.02594894	1.282764	0.06749541	1.282764	0.0143626
1.488356	0.05173355	1.620951	0.009921169	1.481725	0.0604066	1.289397	0.1013306	1.289397	0.01489
1.494987	0.1033719	1.62758	0.01430151	1.488356	0.05648858	1.296031	0.03284205	1.296031	0.03331004
1.501617	0.04201038	1.634209	0.0191066	1.494987	0.1039142	1.302664	0.02649675	1.302664	0.01876508
1.508248	0.04987461	1.640837	0.008537623	1.501617	0.05411282	1.309297	0.04723546	1.309297	0.03193798
1.514878	0.1133117	1.647466	0.02077473	1.508248	0.1147155	1.315929	0.008381674	1.315929	0.0365728
1.521508	0.04909931	1.654094	0.01786553	1.514878	0.09372591	1.322562	0.02097324	1.322562	0.04141722
1.528138	0.06117415	1.660722	0.02097354	1.521508	0.04120682	1.329195	0.01049447	1.329195	0.01419493
1.534769	0.08442576	1.667351	0.01649702	1.528138	0.03859173	1.335828	0.02804911	1.335828	0.02935817
1.541399	0.08442832	1.673979	0.009184743	1.534769	0.06393866	1.34246	0.04585798	1.34246	0.1168821
1.548028	0.1320128	1.680607	0.01423168	1.541399	0.125447	1.349093	0.05476998	1.349093	0.02723297
1.554658	0.04777018	1.687235	0.01310189	1.548028	0.09504831	1.355725	0.04530241	1.355725	0.03601538
1.561288	0.04043728	1.693862	0.007986633	1.554658	0.1342672	1.362357	0.03086423	1.362357	0.03966808
1.567918	0.03626731	1.70049	0.0151013	1.561288	0.06086724	1.36899	0.04564721	1.36899	0.03322931
1.574547	0.03158788	1.707118	0.01978092	1.567918	0.05952988	1.375622	0.008501894	1.375622	0.0211618
1.581177	0.06903955	1.713745	0.02396012	1.574547	0.07444553	1.382254	0.01993723	1.382254	0.05996539
1.587806	0.1103441	1.720373	0.01537364	1.581177	0.05563114	1.388886	0.02781549	1.388886	0.03638004
1.594435	0.05457987	1.727	0.006734017	1.587806	0.1315378	1.395518	0.031622	1.395518	0.01690333
1.601064	0.06837711	1.733627	0.01084552	1.594435	0.1279462	1.40215	0.01384277	1.40215	0.03125101
1.607693	0.09034696	1.740254	0.01550471	1.601064	0.07300014	1.408782	0.01428153	1.408782	0.03253892
1.614322	0.06556157	1.746881	0.01712326	1.607693	0.07537773	1.415413	0.05179447	1.415413	0.01395345
1.620951	0.04412662	1.753508	0.01199479	1.614322	0.0332493	1.422045	0.02878472	1.422045	0.005413404
1.62758	0.0870636	1.760135	0.01031724	1.620951	0.08683655	1.428676	0.04067012	1.428676	0.01653446
1.634209	0.08085573	1.766761	0.01400793	1.62758	0.07646979	1.435308	0.01803468	1.435308	0.01415362
1.640837	0.06566517	1.773388	0.01144477	1.634209	0.120214	1.441939	0.03702976	1.441939	0.02663024
1.647466	0.05275549	1.780014	0.0194024	1.640837	0.05842101	1.44857	0.04200366	1.44857	0.0644127
1.654094	0.06508023	1.786641	0.009960853	1.647466	0.0697871	1.455201	0.02364163	1.455201	0.02486906
1.660722	0.1065374	1.793267	0.01176676	1.654094	0.07289378	1.461833	0.04365477	1.461833	0.03886875
1.667351	0.0945296	1.799893	0.01145449	1.660722	0.05511707	1.468464	0.03679635	1.468464	0.02328291
1.673979	0.04983345	1.806519	0.01885945	1.667351	0.1072743	1.475094	0.05528269	1.475094	0.03675737
1.680607	0.0708737	1.813145	0.02199182	1.673979	0.07111665	1.481725	0.04695982	1.481725	0.02665521
1.687235	0.1102826	1.819771	0.01054459	1.680607	0.1098011	1.488356	0.04881555	1.488356	0.02983863
1.693862	0.1084069	1.826397	0.0150909	1.687235	0.0575395	1.494987	0.1168535	1.494987	0.03946345
1.70049	0.0739013	1.833022	0.01533692	1.693862	0.04365702	1.501617	0.05147617	1.501617	0.04602898
1.707118	0.09616567	1.839648	0.01116451	1.70049	0.05498758	1.508248	0.04350823	1.508248	0.03225692
1.713745	0.08002762	1.846273	0.01670864	1.707118	0.06405729	1.514878	0.06836511	1.514878	0.05514548
1.720373	0.07233167	1.852898	0.01234388	1.713745	0.1166922	1.521508	0.07647822	1.521508	0.06465211
1.727	0.06178672	1.859523	0.01501958	1.720373	0.08166723	1.528138	0.08375742	1.528138	0.03425343
1.733627	0.1150989	1.866148	0.007971364	1.727	0.02892371	1.534769	0.02571252	1.534769	0.04153675
1.740254	0.1280881	1.872773	0.01927932	1.733627	0.05534101	1.541399	0.05307266	1.541399	0.015692
1.746881	0.1029792	1.879398	0.011266	1.740254	0.09268572	1.548028	0.04714831	1.548028	0.02335387
1.753508	0.05849495	1.886023	0.01509876	1.746881	0.09786867	1.554658	0.01695119	1.554658	0.03522888
1.760135	0.06607793	1.892647	0.01511493	1.753508	0.05244636	1.561288	0.1029023	1.561288	0.07091767
1.766761	0.07115414	1.899272	0.007538399	1.760135	0.154269	1.567918	0.01781554	1.567918	0.03848932
1.773388	0.1154297	1.905896	0.006027168	1.766761	0.08684893	1.574547	0.0206946	1.574547	0.04097891
1.780014	0.07812626	1.912521	0.01547463	1.773388	0.133778	1.581177	0.02514425	1.581177	0.04887264
1.786641	0.03375049	1.919145	0.01263906	1.780014	0.06652398	1.587806	0.01708271	1.587806	0.04896916
1.793267	0.1431353	1.925769	0.01993579	1.786641	0.04592774	1.594435	0.03773342	1.594435	0.03083638
1.799893	0.103197	1.932393	0.01310214	1.793267	0.1366134	1.601064	0.02392704	1.601064	0.04939525
1.806519	0.1102757	1.939016	0.01375145	1.799893	0.1245524	1.607693	0.006610571	1.607693	0.05006773
1.813145	0.1239434	1.94564	0.009767527	1.806519	0.1395717	1.614322	0.03209738	1.614322	0.03593194
1.819771	0.1024739	1.952264	0.01081995	1.813145	0.1792695	1.620951	0.006023591	1.620951	0.03177563
1.826397	0.1327058	1.958887	0.009428973	1.819771	0.07455498	1.62758	0.02927065	1.62758	0.06698885
1.833022	0.1318771	1.96551	0.01057436	1.826397	0.1144659	1.634209	0.08348653	1.634209	0.06110578
1.839648	0.1327872	1.972134	0.01433883	1.833022	0.1114353	1.640837	0.03535105	1.640837	0.04137505
1.846273	0.1171013	1.978757	0.01713469	1.839648	0.08133646	1.647466	0.03626099	1.647466	0.09135321
1.852898	0.08934636	1.98538	0.0142115	1.846273	0.1023964	1.654094	0.008703255	1.654094	0.08561511
1.859523	0.08464443	1.992003	0.01325602	1.852898	0.09493178	1.660722	0.02586986	1.660722	0.08222226
